,date,month,hour,id_station,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,2016-01-01 01:00:00,1,1,AJM,561.0,0.7,1.0,21.0,22.0,38.0,45.0,26.0,26.0,61.0,15.1,1.9,185.0,71.0
1,2016-01-01 01:00:00,1,1,HGM,586.0,1.2,6.0,52.0,58.0,9.0,68.0,19.0,28.0,52.0,17.1,0.5,51.0,88.0
2,2016-01-01 01:00:00,1,1,TLA,584.0,1.0,9.0,48.0,58.0,4.0,76.0,28.0,52.0,57.0,15.4,0.8,278.0,104.0
3,2016-01-01 01:00:00,1,1,XAL,585.0,2.2,52.0,58.0,110.0,2.0,120.0,67.0,22.0,56.0,16.3,1.2,61.0,187.0
4,2016-01-01 02:00:00,1,2,AJM,561.0,1.0,3.0,36.0,39.0,22.0,87.0,28.0,24.0,61.0,15.2,0.8,319.0,116.0
5,2016-01-01 02:00:00,1,2,HGM,586.0,1.6,5.0,62.0,67.0,5.0,98.0,27.0,11.0,52.0,16.6,1.0,11.0,125.0
6,2016-01-01 02:00:00,1,2,TLA,583.0,1.2,19.0,44.0,63.0,5.0,123.0,44.0,36.0,60.0,14.6,1.9,326.0,168.0
7,2016-01-01 02:00:00,1,2,XAL,585.0,2.5,58.0,53.0,111.0,2.0,214.0,93.0,19.0,58.0,15.5,1.1,77.0,308.0
8,2016-01-01 03:00:00,1,3,AJM,561.0,1.0,3.0,30.0,33.0,22.0,80.0,26.0,17.0,67.0,13.7,1.3,228.0,106.0
9,2016-01-01 03:00:00,1,3,HGM,586.0,1.3,12.0,51.0,63.0,3.0,119.0,21.0,24.0,56.0,15.7,1.1,300.0,140.0
10,2016-01-01 03:00:00,1,3,TLA,583.0,1.6,46.0,50.0,97.0,3.0,212.0,79.0,55.0,64.0,13.5,2.2,329.0,291.0
11,2016-01-01 03:00:00,1,3,XAL,584.0,2.4,70.0,49.0,120.0,3.0,232.0,97.0,39.0,61.0,14.5,1.1,131.0,329.0
12,2016-01-01 04:00:00,1,4,AJM,561.0,1.0,2.0,32.0,35.0,19.0,74.0,27.0,14.0,69.0,13.2,1.6,189.0,101.0
13,2016-01-01 04:00:00,1,4,HGM,586.0,1.4,16.0,51.0,68.0,3.0,149.0,22.0,38.0,60.0,14.8,0.7,353.0,171.0
14,2016-01-01 04:00:00,1,4,TLA,583.0,1.5,53.0,45.0,98.0,3.0,184.0,58.0,56.0,68.0,12.8,1.7,313.0,242.0
15,2016-01-01 04:00:00,1,4,XAL,584.0,1.7,54.0,47.0,102.0,3.0,187.0,71.0,73.0,65.0,13.6,1.0,127.0,258.0
16,2016-01-01 05:00:00,1,5,AJM,560.0,1.0,2.0,32.0,34.0,19.0,77.0,26.0,11.0,71.0,12.7,1.8,175.0,103.0
17,2016-01-01 05:00:00,1,5,HGM,586.0,1.5,45.0,46.0,92.0,2.0,150.0,25.0,52.0,67.0,13.5,1.3,62.0,176.0
18,2016-01-01 05:00:00,1,5,TLA,583.0,1.4,56.0,42.0,98.0,3.0,175.0,54.0,80.0,72.0,12.0,1.8,313.0,229.0
19,2016-01-01 05:00:00,1,5,XAL,584.0,1.9,64.0,42.0,106.0,2.0,177.0,53.0,66.0,69.0,12.8,0.8,160.0,230.0
20,2016-01-01 06:00:00,1,6,AJM,561.0,0.8,2.0,25.0,27.0,20.0,67.0,22.0,9.0,72.0,12.1,1.1,217.0,89.0
21,2016-01-01 06:00:00,1,6,HGM,586.0,1.2,34.0,46.0,80.0,2.0,128.0,18.0,60.0,70.0,12.8,0.6,27.0,147.0
22,2016-01-01 06:00:00,1,6,TLA,583.0,1.2,39.0,38.0,77.0,3.0,149.0,43.0,78.0,76.0,11.3,2.2,313.0,192.0
23,2016-01-01 06:00:00,1,6,XAL,585.0,2.0,73.0,39.0,112.0,2.0,159.0,52.0,73.0,72.0,12.5,0.8,176.0,211.0
