	fecha	contaminante	medicion
0	2015-01-02 00:00:00	TMP_x	12.825
1	2015-01-02 00:00:00	RH_2_x	53.75
2	2015-01-02 00:00:00	O3_y.3	7.0
3	2015-01-02 00:00:00	O3	3.0
4	2015-01-02 00:00:00	O3_y.1	7.0
5	2015-01-02 00:00:00	TMP_2_y	14.5
6	2015-01-02 00:00:00	O3_y.2	7.0
7	2015-01-02 00:00:00	O3_x	4.0
8	2015-01-02 00:00:00	O3_y	7.0
9	2015-01-02 01:00:00	O3_y.1	2.0
10	2015-01-02 01:00:00	O3	0.0
11	2015-01-02 01:00:00	TMP_x	11.025
12	2015-01-02 01:00:00	RH_2_x	64.5
13	2015-01-02 01:00:00	O3_y	2.0
14	2015-01-02 01:00:00	O3_y.2	2.0
15	2015-01-02 01:00:00	O3_y.3	2.0
16	2015-01-02 01:00:00	O3_x	1.25
17	2015-01-02 01:00:00	TMP_2_y	13.8
18	2015-01-02 02:00:00	O3	0.0
19	2015-01-02 02:00:00	TMP_x	10.175
20	2015-01-02 02:00:00	O3_y.3	3.0
21	2015-01-02 02:00:00	O3_x	1.5
22	2015-01-02 02:00:00	O3_y	3.0
23	2015-01-02 02:00:00	O3_y.2	3.0
24	2015-01-02 02:00:00	RH_2_x	69.25
25	2015-01-02 02:00:00	O3_y.1	3.0
26	2015-01-02 02:00:00	TMP_2_y	13.0
27	2015-01-02 03:00:00	O3_x	1.5
28	2015-01-02 03:00:00	TMP_2_y	12.7
29	2015-01-02 03:00:00	O3_y.2	2.0
30	2015-01-02 03:00:00	O3_y	2.0
31	2015-01-02 03:00:00	O3	0.0
32	2015-01-02 03:00:00	TMP_x	9.475
33	2015-01-02 03:00:00	O3_y.1	2.0
34	2015-01-02 03:00:00	O3_y.3	2.0
35	2015-01-02 03:00:00	RH_2_x	70.25
36	2015-01-02 04:00:00	O3_y	2.0
37	2015-01-02 04:00:00	O3	0.0
38	2015-01-02 04:00:00	O3_y.2	2.0
39	2015-01-02 04:00:00	TMP_x	8.725000000000001
40	2015-01-02 04:00:00	O3_y.3	2.0
41	2015-01-02 04:00:00	O3_x	1.5
42	2015-01-02 04:00:00	RH_2_x	74.0
43	2015-01-02 04:00:00	O3_y.1	2.0
44	2015-01-02 04:00:00	TMP_2_y	11.6
45	2015-01-02 05:00:00	O3_y.3	2.0
46	2015-01-02 05:00:00	O3_y.1	2.0
47	2015-01-02 05:00:00	O3	1.0
48	2015-01-02 05:00:00	TMP_x	7.8
49	2015-01-02 05:00:00	RH_2_x	74.0
50	2015-01-02 05:00:00	TMP_2_y	10.4
51	2015-01-02 05:00:00	O3_y	2.0
52	2015-01-02 05:00:00	O3_x	1.5
53	2015-01-02 05:00:00	O3_y.2	2.0
54	2015-01-02 06:00:00	O3_y.3	2.0
55	2015-01-02 06:00:00	O3_y	2.0
56	2015-01-02 06:00:00	O3_y.2	2.0
57	2015-01-02 06:00:00	O3	0.0
58	2015-01-02 06:00:00	TMP_x	7.625
59	2015-01-02 06:00:00	O3_x	1.25
60	2015-01-02 06:00:00	O3_y.1	2.0
61	2015-01-02 06:00:00	TMP_2_y	10.4
62	2015-01-02 06:00:00	RH_2_x	75.75
63	2015-01-02 07:00:00	O3_y.3	2.0
64	2015-01-02 07:00:00	O3_x	1.5
65	2015-01-02 07:00:00	O3	0.0
66	2015-01-02 07:00:00	TMP_2_y	10.3
67	2015-01-02 07:00:00	O3_y	2.0
68	2015-01-02 07:00:00	RH_2_x	76.25
69	2015-01-02 07:00:00	TMP_x	7.324999999999998
70	2015-01-02 07:00:00	O3_y.1	2.0
71	2015-01-02 07:00:00	O3_y.2	2.0
72	2015-01-02 08:00:00	O3_y	3.0
73	2015-01-02 08:00:00	TMP_x	7.3
74	2015-01-02 08:00:00	O3_y.3	3.0
