	fecha	O3_prediccion	medicion
0	2015-01-02 00:00:00	O3forecast_12	10.0
1	2015-01-02 00:00:00	O3forecast_8	11.0
2	2015-01-02 00:00:00	O3forecast_7	5.0
3	2015-01-02 00:00:00	O3forecast_10	11.0
4	2015-01-02 00:00:00	O3forecast_6	5.0
5	2015-01-02 00:00:00	O3forecast_1	4.0
6	2015-01-02 00:00:00	O3forecast_11	11.0
7	2015-01-02 00:00:00	O3forecast_4	5.0
8	2015-01-02 00:00:00	O3forecast_3	4.0
9	2015-01-02 00:00:00	O3forecast_2	4.0
10	2015-01-02 00:00:00	O3forecast_5	5.0
11	2015-01-02 00:00:00	O3forecast_9	11.0
12	2015-01-02 01:00:00	O3forecast_4	5.0
13	2015-01-02 01:00:00	O3forecast_5	5.0
14	2015-01-02 01:00:00	O3forecast_9	3.0
15	2015-01-02 01:00:00	O3forecast_1	2.0
16	2015-01-02 01:00:00	O3forecast_2	3.0
17	2015-01-02 01:00:00	O3forecast_10	7.0
18	2015-01-02 01:00:00	O3forecast_7	5.0
19	2015-01-02 01:00:00	O3forecast_6	5.0
20	2015-01-02 01:00:00	O3forecast_11	7.0
21	2015-01-02 01:00:00	O3forecast_3	5.0
22	2015-01-02 01:00:00	O3forecast_12	7.0
23	2015-01-02 01:00:00	O3forecast_8	5.0
24	2015-01-02 02:00:00	O3forecast_1	3.0
25	2015-01-02 02:00:00	O3forecast_5	2.0
26	2015-01-02 02:00:00	O3forecast_2	3.0
27	2015-01-02 02:00:00	O3forecast_6	3.0
28	2015-01-02 02:00:00	O3forecast_11	5.0
29	2015-01-02 02:00:00	O3forecast_9	5.0
30	2015-01-02 02:00:00	O3forecast_4	2.0
31	2015-01-02 02:00:00	O3forecast_3	3.0
32	2015-01-02 02:00:00	O3forecast_12	5.0
33	2015-01-02 02:00:00	O3forecast_10	5.0
34	2015-01-02 02:00:00	O3forecast_8	5.0
35	2015-01-02 02:00:00	O3forecast_7	5.0
36	2015-01-02 03:00:00	O3forecast_7	3.0
37	2015-01-02 03:00:00	O3forecast_1	2.0
38	2015-01-02 03:00:00	O3forecast_3	2.0
39	2015-01-02 03:00:00	O3forecast_11	5.0
40	2015-01-02 03:00:00	O3forecast_2	2.0
41	2015-01-02 03:00:00	O3forecast_5	3.0
42	2015-01-02 03:00:00	O3forecast_6	3.0
43	2015-01-02 03:00:00	O3forecast_10	3.0
44	2015-01-02 03:00:00	O3forecast_4	3.0
45	2015-01-02 03:00:00	O3forecast_12	5.0
46	2015-01-02 03:00:00	O3forecast_8	2.0
47	2015-01-02 03:00:00	O3forecast_9	2.0
48	2015-01-02 04:00:00	O3forecast_5	2.0
49	2015-01-02 04:00:00	O3forecast_11	3.0
50	2015-01-02 04:00:00	O3forecast_8	3.0
51	2015-01-02 04:00:00	O3forecast_1	2.0
52	2015-01-02 04:00:00	O3forecast_2	2.0
53	2015-01-02 04:00:00	O3forecast_6	2.0
54	2015-01-02 04:00:00	O3forecast_12	2.0
55	2015-01-02 04:00:00	O3forecast_3	2.0
56	2015-01-02 04:00:00	O3forecast_7	2.0
57	2015-01-02 04:00:00	O3forecast_10	3.0
58	2015-01-02 04:00:00	O3forecast_9	3.0
59	2015-01-02 04:00:00	O3forecast_4	2.0
60	2015-01-02 05:00:00	O3forecast_6	2.0
61	2015-01-02 05:00:00	O3forecast_5	2.0
62	2015-01-02 05:00:00	O3forecast_12	3.0
63	2015-01-02 05:00:00	O3forecast_7	2.0
64	2015-01-02 05:00:00	O3forecast_10	2.0
65	2015-01-02 05:00:00	O3forecast_8	2.0
66	2015-01-02 05:00:00	O3forecast_9	2.0
67	2015-01-02 05:00:00	O3forecast_11	2.0
68	2015-01-02 05:00:00	O3forecast_4	2.0
69	2015-01-02 05:00:00	O3forecast_1	2.0
70	2015-01-02 05:00:00	O3forecast_3	2.0
71	2015-01-02 05:00:00	O3forecast_2	2.0
72	2015-01-02 06:00:00	O3forecast_7	2.0
73	2015-01-02 06:00:00	O3forecast_5	2.0
74	2015-01-02 06:00:00	O3forecast_4	2.0
75	2015-01-02 06:00:00	O3forecast_6	2.0
76	2015-01-02 06:00:00	O3forecast_10	2.0
77	2015-01-02 06:00:00	O3forecast_3	2.0
78	2015-01-02 06:00:00	O3forecast_12	2.0
79	2015-01-02 06:00:00	O3forecast_8	2.0
80	2015-01-02 06:00:00	O3forecast_1	2.0
81	2015-01-02 06:00:00	O3forecast_11	2.0
82	2015-01-02 06:00:00	O3forecast_9	2.0
83	2015-01-02 06:00:00	O3forecast_2	2.0
84	2015-01-02 07:00:00	O3forecast_2	2.0
85	2015-01-02 07:00:00	O3forecast_7	2.0
86	2015-01-02 07:00:00	O3forecast_10	2.0
87	2015-01-02 07:00:00	O3forecast_11	2.0
88	2015-01-02 07:00:00	O3forecast_6	2.0
89	2015-01-02 07:00:00	O3forecast_5	2.0
90	2015-01-02 07:00:00	O3forecast_12	2.0
91	2015-01-02 07:00:00	O3forecast_3	2.0
92	2015-01-02 07:00:00	O3forecast_9	2.0
93	2015-01-02 07:00:00	O3forecast_4	2.0
94	2015-01-02 07:00:00	O3forecast_1	2.0
95	2015-01-02 07:00:00	O3forecast_8	2.0
96	2015-01-02 08:00:00	O3forecast_11	2.0
97	2015-01-02 08:00:00	O3forecast_9	2.0
98	2015-01-02 08:00:00	O3forecast_2	3.0
99	2015-01-02 08:00:00	O3forecast_1	3.0
100	2015-01-02 08:00:00	O3forecast_3	3.0
101	2015-01-02 08:00:00	O3forecast_6	2.0
102	2015-01-02 08:00:00	O3forecast_4	2.0
103	2015-01-02 08:00:00	O3forecast_10	2.0
104	2015-01-02 08:00:00	O3forecast_12	2.0
105	2015-01-02 08:00:00	O3forecast_5	2.0
106	2015-01-02 08:00:00	O3forecast_8	2.0
107	2015-01-02 08:00:00	O3forecast_7	2.0
108	2015-01-02 09:00:00	O3forecast_1	6.0
109	2015-01-02 09:00:00	O3forecast_6	3.0
110	2015-01-02 09:00:00	O3forecast_5	3.0
111	2015-01-02 09:00:00	O3forecast_2	6.0
112	2015-01-02 09:00:00	O3forecast_12	2.0
113	2015-01-02 09:00:00	O3forecast_9	2.0
114	2015-01-02 09:00:00	O3forecast_11	2.0
115	2015-01-02 09:00:00	O3forecast_4	3.0
116	2015-01-02 09:00:00	O3forecast_8	2.0
117	2015-01-02 09:00:00	O3forecast_3	6.0
118	2015-01-02 09:00:00	O3forecast_10	2.0
