,contaminante,valor,horas
0,CO,-0.30652713020348754,0
1,NO,-0.40304423705100223,0
2,NO2,-0.31255442681353995,0
3,NOX,-0.42665234856214457,0
4,O3,1.0,0
7,RH,-0.6129016588993337,0
9,TMP,0.7014475186453797,0
11,WSP,0.2632329625472532,0
12,hora,0.34487369019807684,0
15,CO,-0.1661823926942646,1
16,CO,-0.19183415224120126,2
17,CO,-0.1741034895503949,3
18,CO,-0.15752148992811632,4
33,CO,0.18155511662260768,19
34,CO,0.1793271603722989,20
35,CO,0.2009741545403334,21
36,CO,0.23253238380158545,22
37,CO,0.2413280447499513,23
38,CO,0.23368969196312944,24
39,CO,0.2632074676229554,25
40,CO,0.27634841808778143,26
41,CO,0.2783866494733037,27
42,CO,0.2812967550097701,28
43,CO,0.2983996571706485,29
44,CO,0.2890510206208497,30
45,CO,0.30861904990461553,31
46,CO,0.2986316790372673,32
47,CO,0.3100585055121282,33
48,CO,0.3066638352554694,34
49,CO,0.2918423587918509,35
50,CO,0.3002094912496253,36
51,CO,0.301182534467573,37
52,CO,0.2930728677238443,38
53,CO,0.2869487042729277,39
54,CO,0.2724002001327923,40
55,CO,0.27921548352171977,41
56,CO,0.2566341338458348,42
57,CO,0.26352521273744817,43
58,CO,0.2467264033125783,44
59,CO,0.2340930376569478,45
60,CO,0.23296238659896285,46
61,CO,0.2202469851764908,47
62,CO,0.2027696242399332,48
63,CO,0.19804732402569705,49
64,CO,0.18839587307379194,50
65,CO,0.17970162498543102,51
66,CO,0.16473338228672255,52
67,CO,0.1566116220066007,53
87,NO,-0.27365886618508833,1
88,NO,-0.2975667016762537,2
89,NO,-0.2818441140159943,3
90,NO,-0.2681155681673641,4
91,NO,-0.2539410756252576,5
92,NO,-0.23466936155249696,6
93,NO,-0.2097620520244485,7
94,NO,-0.18668551043845544,8
95,NO,-0.155116385726093,9
108,NO,0.17645554264571076,22
109,NO,0.1914010010819229,23
110,NO,0.192482728103982,24
111,NO,0.227931824170146,25
112,NO,0.2493182042346503,26
113,NO,0.2590968246244411,27
114,NO,0.2698590204042781,28
115,NO,0.2934626343358977,29
116,NO,0.28928188807959865,30
