,contaminante,valor,horas
0,CO,0.3543456873362494,0
1,NO,0.2532541411889119,0
2,NO2,0.4136319470038844,0
3,NOX,0.33891356389993627,0
5,PM10,0.6790218812463026,0
6,PM2.5,0.5188334013447515,0
8,SO2,0.22310608912506924,0
13,PM10mean,1.0,0
14,PM25mean,0.8579631104944621,0
16,CO,0.17129314790371725,2
17,CO,0.18568670975825052,3
18,CO,0.17628381733728957,4
19,CO,0.20539301224354375,5
20,CO,0.20253433785473013,6
21,CO,0.18881811240784918,7
22,CO,0.20404753951112184,8
23,CO,0.17134731124785285,9
24,CO,0.21340256018641676,10
25,CO,0.16660234312651453,11
26,CO,0.22959263087903856,12
27,CO,0.16517210838324806,13
28,CO,0.20510050396271154,14
29,CO,0.205874600757523,15
30,CO,0.19981927101673094,16
31,CO,0.17496982523932386,17
32,CO,0.21549822676774286,18
33,CO,0.1630319564493795,19
34,CO,0.214924730473152,20
35,CO,0.21661823500379615,21
36,CO,0.17434327520725815,22
37,CO,0.16378061105413408,23
38,CO,0.23361976456037173,24
39,CO,0.19477289559567115,25
40,CO,0.17068139839837113,26
41,CO,0.188917123125586,27
42,CO,0.20510850076660192,28
43,CO,0.1682571351888134,29
44,CO,0.225230260777983,30
45,CO,0.16147693990003797,31
46,CO,0.2027014603799887,32
47,CO,0.17401152874010908,33
48,CO,0.16810436092960968,34
49,CO,0.2158348241332019,35
50,CO,0.19360843877395023,36
51,CO,0.16915682723939188,37
52,CO,0.17814686745348948,38
53,CO,0.17217048871605783,39
54,CO,0.20607545639823158,40
55,CO,0.1631043187575549,41
56,CO,0.2105303387165927,42
57,CO,0.1574423199972722,43
58,CO,0.17599913132871797,44
59,CO,0.19807532252602422,45
60,CO,0.16720917830068466,46
61,CO,0.16425479027450987,47
62,CO,0.1980848441424814,48
63,CO,0.17510948721128525,49
64,CO,0.1776520812108231,50
65,CO,0.1672986687447349,51
66,CO,0.1739830194931025,52
67,CO,0.16733347908204524,53
68,CO,0.18054401851393548,54
69,CO,0.16762418071459745,55
70,CO,0.18881315168392176,56
71,CO,0.15820899336500796,57
72,CO,0.15568004109835595,58
73,CO,0.1674249347801294,59
74,CO,0.18809131009496313,60
75,CO,0.15677057212447523,61
76,CO,0.15913054098069757,62
77,CO,0.16561432805447865,63
78,CO,0.1633289895578411,64
79,CO,0.1585760376437907,65
80,CO,0.1665765667558318,66
81,CO,0.15178486975592204,67
82,CO,0.1527151189654571,68
83,CO,0.15604471483484325,69
84,CO,0.163158726485844,70
86,CO,0.16208885970321613,72
98,NO,0.15907237161103077,12
104,NO,0.15287899338537397,18
106,NO,0.15328749570118239,20
107,NO,0.152740972762066,21
