horas,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM25,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,0.12351462015753449,0.08758015048473441,0.07654517871043784,0.5948152927403492,0.4239734601506609,0.6159660179040509,0.5432730762060318,0.16346946090614162,0.7795404131138828,0.890051751589629,0.3282578340976051,-0.40004812082575925,0.08299496015321767,-0.05705025289368167,-0.2249409165100832,1.0
1,0.0805909040700756,0.046392765251903924,0.06995897248399215,0.5716243351546357,0.4630284924944312,0.5453792383753326,0.5516691124670362,0.13942243784352826,0.7167798546272129,0.807676129359951,0.3131249689601674,-0.36604970640330636,0.03282079998760042,-0.12608058581541698,-0.19602956077788491,0.9100069629369356
2,0.05940922032790809,0.033294674403224804,0.0641715441025733,0.4917511723396418,0.42951558625334557,0.46259530390494635,0.4975681419946601,0.1299031350184909,0.6538931646422802,0.6922101738721681,0.2969256326422327,-0.33680093878937534,-0.007755119172243035,-0.19046080797648396,-0.16806693669025483,0.7947657202697513
3,0.0542515672989794,0.04116021507637674,0.062330566342753795,0.38990223518849365,0.3518007878346581,0.3914070100940966,0.41162158160429757,0.1236620090125412,0.5938261050916006,0.579215655666768,0.28370312097237527,-0.3098163633213776,-0.04159456991862926,-0.2372066576073639,-0.14752326940180627,0.6792265571157403
4,0.05561427847758813,0.05655932975406281,0.06447331297440033,0.29736114392658086,0.26324920786883443,0.3499464240600463,0.3266562987379466,0.11038378875768617,0.5443123998439934,0.48511660435551984,0.2782235852685378,-0.2859170113276794,-0.06964036975228205,-0.2728355677774187,-0.13034335287252988,0.5813311229525091
5,0.05204028153358893,0.06345688243457795,0.07116525147946824,0.23859479655473007,0.19525051541741492,0.3425982840275171,0.2694157215484137,0.08352666286442023,0.5070197472189427,0.41888808303218,0.2819058606125426,-0.2632725503130437,-0.0951883574078521,-0.3007424715096025,-0.11063409055671204,0.5125649722520025
6,0.03469731001246651,0.05034591841514408,0.08196833970421384,0.22368160137182927,0.1650770373958451,0.3660121983713691,0.25274342344465955,0.04155823022608749,0.4799314474623951,0.38487633858554443,0.2925475944167962,-0.23953118918276606,-0.12198580602462161,-0.3210901472204976,-0.08693179203753892,0.47604291336243676
7,-0.0009111360973040382,0.013146827886447787,0.09374367168069013,0.24459434781011474,0.1700113496673561,0.4092810161156592,0.270872340065268,-0.0111194663215492,0.4578105792215633,0.37427444320122644,0.30388467532403984,-0.2139744498781676,-0.15100608623759998,-0.3325689456267866,-0.059961111841948016,0.46271850804958015
8,-0.053062958950478176,-0.042955791343558175,0.1040491619144793,0.2862544158149171,0.19853260540477907,0.4569976837078996,0.3094811253680637,-0.0673779616010081,0.432633934947179,0.37996638598215765,0.30929789567678984,-0.18864088556079986,-0.18015558154466615,-0.3297183363384967,-0.0349341977852557,0.4640981193648042
9,-0.11615786810642767,-0.10864888288205703,0.10970871676948128,0.3302522949386871,0.2358405329398342,0.493003625958405,0.3513537309107841,-0.11734392135926787,0.4011938000670344,0.3930298043969668,0.3043994299606914,-0.16836195821791347,-0.20511535466424652,-0.31086105976906664,-0.016069320785115825,0.47136411125683175
10,-0.18118508263936992,-0.17290680591612195,0.10778457501157723,0.35697702506968215,0.26183168740336094,0.5082733086355326,0.37731502726178234,-0.150114586193572,0.36423202920216546,0.4052791106616958,0.2861673810440269,-0.15744455843944835,-0.2196160927227549,-0.27285001545318716,-0.004784302005336058,0.47536742032284646
11,-0.23728358606696365,-0.2266299127355199,0.0982871338710309,0.3508356072095846,0.2573277310366497,0.500632890732617,0.3711982293691619,-0.15744347546436505,0.3257101780273111,0.41341111455869245,0.26224611666217934,-0.16162531816532869,-0.21624356402215658,-0.21492371463618284,0.0003387045713258498,0.47310549419430065
12,-0.2753362268944659,-0.2641284533450593,0.08317790830965571,0.30958545315487007,0.2177381350602067,0.47063471250727607,0.3294768116500762,-0.13418207672254798,0.29001619512657567,0.4174942150420626,0.24090331475787183,-0.1839509341250713,-0.19018341751294746,-0.14443060466403107,0.003908452991150925,0.46445682149598466
13,-0.286884471705524,-0.2793662645411251,0.06520939370279417,0.24488700000301225,0.15438594972414374,0.4202457732330589,0.26191548107765766,-0.0781851537577326,0.2610305426985365,0.41695710172811806,0.22243947646339185,-0.22503352875698404,-0.14008816038755498,-0.07092380489692253,0.008276566644977442,0.45091341278298924
14,-0.2655486738370463,-0.26478410897326243,0.04813072837428778,0.17506441127586905,0.08559551189796266,0.3572709422769226,0.18585727308122657,0.006450877075991766,0.24321035234771865,0.41186886105095877,0.20565198356277356,-0.28086883421310443,-0.07076954387573514,-0.007784355765940824,0.011024593533172658,0.4342404764188447
15,-0.20967649840234193,-0.2147766085244011,0.03619894042407621,0.1146988680359742,0.024317011277541406,0.29523575466351937,0.11614264822415789,0.10716648239311005,0.2385986564318076,0.40245890121253963,0.18911733042468967,-0.3443350138641657,0.007808171444780754,0.0373581001374122,0.010333971876962429,0.41602599821765335
16,-0.12380254375369772,-0.12911634652569748,0.030679689592407987,0.07090076103473944,-0.024823063030355863,0.24702393577779239,0.06076569510838402,0.20753752419044588,0.24692105817620366,0.39058915447126097,0.17305828578413002,-0.40739008879984284,0.08560652016376774,0.06519993060149842,-3.489750083056764e-05,0.39925876920400244
