contaminante,valor,horas
RH,-0.6966456824398097,0.0
TMP,0.7811491622569847,0.0
WSP,0.27410498462559857,0.0
CO,-0.24284905261089848,0.0
NO,-0.3734838562098124,0.0
NO2,-0.05242666472695082,0.0
NOX,-0.3351198242286606,0.0
O3,1.0,0.0
PM10,0.1368245899401586,0.0
PM2.5,0.21963804626312353,0.0
SO2,-0.09698805381982528,0.0
hora,0.36242945486964556,0.0
dia,-0.008950308048889372,0.0
mes,-0.13604695833870334,0.0
PM10mean,0.24128690759857765,0.0
PM25mean,0.24649347674449465,0.0
RH,-0.7138390028979973,1.0
RH,-0.6757989918082002,2.0
RH,-0.5891592700808977,3.0
RH,-0.46322782837885995,4.0
RH,-0.3139570189546508,5.0
RH,-0.15984557013721892,6.0
RH,-0.017895281703828703,7.0
RH,0.09907798052149665,8.0
RH,0.18428872562568593,9.0
RH,0.23796432602541295,10.0
RH,0.2659684071507637,11.0
RH,0.2736752419645311,12.0
RH,0.2648483482516048,13.0
RH,0.24191662896440475,14.0
RH,0.20472306685023206,15.0
RH,0.15188429595465994,16.0
RH,0.08045504739245447,17.0
RH,-0.01225266757761452,18.0
RH,-0.12498770203231756,19.0
RH,-0.2523998805824102,20.0
RH,-0.38433080268289466,21.0
RH,-0.508239169970699,22.0
RH,-0.6091242412621852,23.0
RH,-0.6727170101232319,24.0
RH,-0.6874145765227884,25.0
RH,-0.6504031217736941,26.0
RH,-0.5663531016740674,27.0
RH,-0.44374099723059585,28.0
RH,-0.29747626848404246,29.0
RH,-0.14567353757338156,30.0
RH,-0.005719552837720792,31.0
RH,0.10936591106181559,32.0
RH,0.1933418261555312,33.0
RH,0.2461531663592803,34.0
RH,0.2724920535443944,35.0
RH,0.2789898901364585,36.0
RH,0.2692644461543253,37.0
RH,0.2455026908596436,38.0
RH,0.2081441373432428,39.0
RH,0.1551939081755099,40.0
RH,0.08388595409060176,41.0
RH,-0.008008041453859555,42.0
RH,-0.11976248992682088,43.0
RH,-0.2453521076363664,44.0
RH,-0.3746493253757037,45.0
RH,-0.495796636363122,46.0
RH,-0.5940359376724067,47.0
RH,-0.6547898264813263,48.0
RH,-0.6675300898811302,49.0
RH,-0.6304080933038406,50.0
RH,-0.5468735130923008,51.0
RH,-0.42558706722612755,52.0
RH,-0.28102654556639844,53.0
RH,-0.131153563293601,54.0
RH,0.007096369401975607,55.0
RH,0.12058054974266193,56.0
RH,0.20375320735775176,57.0
RH,0.2559196595393844,58.0
RH,0.28209700519829534,59.0
RH,0.28836886770379405,60.0
RH,0.2786260302705075,61.0
RH,0.2548743244129143,62.0
RH,0.21727161000838727,63.0
RH,0.1642411219304715,64.0
RH,0.09258138192188244,65.0
RH,0.0006869122197600373,66.0
RH,-0.1102376791487877,67.0
RH,-0.23499000831435984,68.0
RH,-0.36375554146924544,69.0
RH,-0.4839819145092218,70.0
RH,-0.5808711927416234,71.0
RH,-0.6405041162292778,72.0
TMP,0.7507599552285394,1.0
TMP,0.660520420247058,2.0
TMP,0.5224622053204511,3.0
TMP,0.35253496951816227,4.0
TMP,0.170478779775403,5.0
TMP,-0.002978021259211581,6.0
TMP,-0.1514977460422137,7.0
TMP,-0.2646731458925612,8.0
TMP,-0.3388540788668894,9.0
TMP,-0.37693266805885817,10.0
TMP,-0.38435362343693724,11.0
TMP,-0.3684496971188415,12.0
TMP,-0.33494984699894725,13.0
TMP,-0.286990122734484,14.0
TMP,-0.2247920619015731,15.0
TMP,-0.14623113129422802,16.0
TMP,-0.04819972223480208,17.0
TMP,0.07120939536024944,18.0
TMP,0.20845201274415984,19.0
TMP,0.35427321149216706,20.0
TMP,0.49514888114089844,21.0
TMP,0.6149967172177926,22.0
TMP,0.6970908611071677,23.0
TMP,0.7275377303268061,24.0
TMP,0.6992890696246958,25.0
TMP,0.6136532979538917,26.0
TMP,0.48078596055902806,27.0
TMP,0.3158525296942902,28.0
TMP,0.13814159887846025,29.0
TMP,-0.0320673270137413,30.0
TMP,-0.1784880838346868,31.0
TMP,-0.2902095720014731,32.0
TMP,-0.3636695308654006,33.0
TMP,-0.40133667721943145,34.0
TMP,-0.4083958764752471,35.0
TMP,-0.39232996308567847,36.0
TMP,-0.358650042708383,37.0
TMP,-0.310838891636281,38.0
TMP,-0.24896385755597703,39.0
TMP,-0.17087276385895378,40.0
TMP,-0.07328206213913933,41.0
TMP,0.04514702612324152,42.0
TMP,0.18080538280217323,43.0
TMP,0.3251973037625688,44.0
TMP,0.4644030156376002,45.0
TMP,0.5825560897824764,46.0
TMP,0.6634597841801196,47.0
TMP,0.6937489965198854,48.0
TMP,0.6667006484474726,49.0
TMP,0.5834821689631197,50.0
TMP,0.45315186162089566,51.0
TMP,0.290523537063179,52.0
TMP,0.11476054725858134,53.0
TMP,-0.05380252270952263,54.0
TMP,-0.19836121460593312,55.0
TMP,-0.3084530927026804,56.0
TMP,-0.38063893604257715,57.0
TMP,-0.41724480032993577,58.0
TMP,-0.42377565270186646,59.0
TMP,-0.4077405793304186,60.0
TMP,-0.37426115091629764,61.0
TMP,-0.32641698878291414,62.0
TMP,-0.26467472140708787,63.0
TMP,-0.18659272710995833,64.0
TMP,-0.08908875606248,65.0
TMP,0.028992848857832453,66.0
TMP,0.1639183055276059,67.0
TMP,0.30756080045407885,68.0
TMP,0.44622907472995843,69.0
TMP,0.563985241257516,70.0
TMP,0.6449998407163368,71.0
TMP,0.6756443185992241,72.0
WSP,0.14081805885430804,1.0
WSP,0.014894107304929302,2.0
WSP,-0.09662792131960485,3.0
WSP,-0.19265470615211372,4.0
WSP,-0.2697591975170551,5.0
WSP,-0.32728081589837893,6.0
WSP,-0.3641326983732445,7.0
WSP,-0.3812954096626191,8.0
WSP,-0.3832492103937395,9.0
WSP,-0.37386288486130437,10.0
WSP,-0.35577090265048145,11.0
WSP,-0.32429687826788733,12.0
WSP,-0.27377951007133067,13.0
WSP,-0.2004796430559289,14.0
WSP,-0.1046051469403335,15.0
WSP,0.010453507554278506,16.0
WSP,0.13723017284976324,17.0
WSP,0.2617082468837032,18.0
WSP,0.36659187111465125,19.0
WSP,0.43640969144711833,20.0
WSP,0.4610181665781648,21.0
WSP,0.4374687522327414,22.0
WSP,0.372055896425966,23.0
WSP,0.2748737602211639,24.0
WSP,0.16159567363492294,25.0
WSP,0.046801248817867486,26.0
WSP,-0.061324672656410714,27.0
WSP,-0.15719547259314123,28.0
WSP,-0.23419182403435823,29.0
WSP,-0.29268173212447257,30.0
WSP,-0.33038093129954665,31.0
WSP,-0.34950523795410415,32.0
WSP,-0.3519224553512337,33.0
WSP,-0.3427862294846897,34.0
WSP,-0.3232826206739483,35.0
WSP,-0.2902501253795043,36.0
WSP,-0.24009498726748454,37.0
WSP,-0.16803463683436312,38.0
WSP,-0.0740751181109073,39.0
WSP,0.03940935630508322,40.0
WSP,0.1638110665559425,41.0
WSP,0.2862664431142362,42.0
WSP,0.389513815007682,43.0
WSP,0.4594618332235922,44.0
WSP,0.4860243189959573,45.0
WSP,0.46627017618505306,46.0
WSP,0.40466138942754465,47.0
WSP,0.3125556325900268,48.0
WSP,0.20258402022694894,49.0
WSP,0.08886088784261581,50.0
WSP,-0.020100488554472568,51.0
WSP,-0.11896398221093248,52.0
WSP,-0.20089179000683943,53.0
WSP,-0.2619887898669958,54.0
WSP,-0.3011964481809375,55.0
WSP,-0.3217006022081686,56.0
WSP,-0.32603666983498425,57.0
WSP,-0.3179482285407369,58.0
WSP,-0.29964042364987403,59.0
WSP,-0.26752007796371907,60.0
WSP,-0.21660237802398438,61.0
WSP,-0.1446789658834488,62.0
WSP,-0.04980184668906326,63.0
WSP,0.06476846793980917,64.0
WSP,0.1900321981862773,65.0
WSP,0.3113177823854091,66.0
WSP,0.4133835649818787,67.0
WSP,0.48331485714233857,68.0
WSP,0.5099758431913266,69.0
WSP,0.490505844332359,70.0
WSP,0.42857543849496965,71.0
WSP,0.33558008788249816,72.0
CO,-0.1818816499451511,1.0
CO,-0.0784074125047133,2.0
CO,0.05241421584792181,3.0
CO,0.19591696239714107,4.0
CO,0.3286299534342968,5.0
CO,0.42408696789176564,6.0
CO,0.4609272357372968,7.0
CO,0.43332888915448914,8.0
CO,0.3548420387244835,9.0
CO,0.2502703373194989,10.0
CO,0.14945501935145777,11.0
CO,0.07403498487102789,12.0
CO,0.028494184805776986,13.0
CO,0.008455402439328854,14.0
CO,0.0037665236290881595,15.0
CO,0.003470088156582328,16.0
CO,-0.004051278534026385,17.0
CO,-0.028347101241808118,18.0
CO,-0.07149797588244357,19.0
CO,-0.12818339860788663,20.0
CO,-0.18739682313643385,21.0
CO,-0.23757403432174184,22.0
CO,-0.264164570438826,23.0
CO,-0.25349444661569653,24.0
CO,-0.19508688861490497,25.0
CO,-0.09388112304995308,26.0
CO,0.03402393972212259,27.0
CO,0.17347202287295652,28.0
CO,0.30237557286215566,29.0
CO,0.3953738576808854,30.0
CO,0.4308264877410717,31.0
CO,0.4027047364451975,32.0
CO,0.32316364246257234,33.0
CO,0.21911098566099324,34.0
CO,0.11855642184100443,35.0
CO,0.043048542856628985,36.0
CO,-0.0024272699378597574,37.0
CO,-0.02187971136651233,38.0
CO,-0.024316646310460367,39.0
CO,-0.023059052342207616,40.0
CO,-0.028809911698958718,41.0
CO,-0.05069329898562777,42.0
CO,-0.09198305220481594,43.0
CO,-0.14718225335720464,44.0
CO,-0.20586585580349556,45.0
CO,-0.25491207619192635,46.0
CO,-0.2809527797909582,47.0
CO,-0.2706789403952611,48.0
CO,-0.21407476150039145,49.0
CO,-0.11384312913861343,50.0
CO,0.01361668494288483,51.0
CO,0.15246963726844406,52.0
CO,0.2804129543916202,53.0
CO,0.3721818153559901,54.0
CO,0.40637555525151886,55.0
CO,0.37841661412645106,56.0
CO,0.30169700359431256,57.0
CO,0.20018995905103543,58.0
CO,0.10131731457044633,59.0
CO,0.02742410359257064,60.0
CO,-0.016553528151456446,61.0
CO,-0.03515420951789651,62.0
CO,-0.03896914307755446,63.0
CO,-0.03860665739618259,64.0
CO,-0.04563689699787644,65.0
CO,-0.06827090450265969,66.0
CO,-0.10741179003546907,67.0
CO,-0.15994806624095634,68.0
CO,-0.21600409794049444,69.0
CO,-0.2643467361933294,70.0
CO,-0.29030572687216266,71.0
CO,-0.2803581896129878,72.0
NO,-0.3318252953831326,1.0
NO,-0.24171909961165408,2.0
NO,-0.10976818567174867,3.0
NO,0.05309223101151356,4.0
NO,0.22604598500633266,5.0
NO,0.3799725880362614,6.0
NO,0.4851911057126018,7.0
NO,0.5217048950708237,8.0
NO,0.49000054801746495,9.0
NO,0.4076341627718483,10.0
NO,0.300196558997184,11.0
NO,0.19562902513559785,12.0
NO,0.10734484365613878,13.0
NO,0.03883412261713106,14.0
NO,-0.012795994626070773,15.0
NO,-0.05280711867796268,16.0
NO,-0.09003080923309532,17.0
NO,-0.13198255863789837,18.0
NO,-0.18156964427808328,19.0
NO,-0.2354454352603349,20.0
NO,-0.2883007918044605,21.0
NO,-0.3349322168788703,22.0
NO,-0.36518662520209144,23.0
NO,-0.36616801032576335,24.0
NO,-0.32452244832902655,25.0
NO,-0.23470527648710826,26.0
NO,-0.10476795124725831,27.0
NO,0.05508504790887939,28.0
NO,0.22390466702367398,29.0
NO,0.3744787431364435,30.0
