contaminante,valor,horas
RH,-0.13557461181257735,0.0
TMP,0.002036779527559988,0.0
WSP,-0.10481071105017378,0.0
CO,0.32650512737945553,0.0
NO,0.18077190985562305,0.0
NO2,0.4537060894712337,0.0
NOX,0.26758105539146154,0.0
O3,0.24649347674449465,0.0
PM10,0.5075401052703375,0.0
PM2.5,0.5743601521863348,0.0
SO2,0.1901146940323325,0.0
hora,0.0005869123446762941,0.0
dia,-0.02559623210104424,0.0
mes,-0.13672662407286787,0.0
PM10mean,0.8639864853330731,0.0
PM25mean,1.0,0.0
RH,-0.13496605743770604,1.0
RH,-0.13441885832372508,2.0
RH,-0.13409066601264055,3.0
RH,-0.13384072174759562,4.0
RH,-0.13366279301546696,5.0
RH,-0.1335893735927497,6.0
RH,-0.13356207569937129,7.0
RH,-0.1334055746477647,8.0
RH,-0.13333344466387778,9.0
RH,-0.13321524010870356,10.0
RH,-0.1332344323525428,11.0
RH,-0.13328452413928363,12.0
RH,-0.13323482868797146,13.0
RH,-0.1331593203823334,14.0
RH,-0.13330541976560212,15.0
RH,-0.1337648438666049,16.0
RH,-0.13455591746710627,17.0
RH,-0.13549157798730163,18.0
RH,-0.1365244447251005,19.0
RH,-0.13763491895569036,20.0
RH,-0.13891566591097496,21.0
RH,-0.14039503226644726,22.0
RH,-0.1421296600743284,23.0
RH,-0.14445868279193588,24.0
RH,-0.1468206123171425,25.0
RH,-0.14924502506485335,26.0
RH,-0.15156778588242348,27.0
RH,-0.15360262754459744,28.0
RH,-0.15521737998993493,29.0
RH,-0.15652622110520106,30.0
RH,-0.157525684686491,31.0
RH,-0.1582601005809124,32.0
RH,-0.15902476831508178,33.0
RH,-0.15990580027642018,34.0
RH,-0.16074459512049064,35.0
RH,-0.16146281322220404,36.0
RH,-0.1620630481489446,37.0
RH,-0.16254331612648815,38.0
RH,-0.16295291389151098,39.0
RH,-0.1633076630877961,40.0
RH,-0.16376611815813671,41.0
RH,-0.16424353674063147,42.0
RH,-0.16465278837371874,43.0
RH,-0.16489423608954265,44.0
RH,-0.16504393737390338,45.0
RH,-0.16520960319547337,46.0
RH,-0.1654498724886527,47.0
RH,-0.16584029561801164,48.0
RH,-0.16633031953130978,49.0
RH,-0.16693975180205176,50.0
RH,-0.16750927857965164,51.0
RH,-0.16780099099577292,52.0
RH,-0.16783552277917616,53.0
RH,-0.1676793677830033,54.0
RH,-0.1674410276000188,55.0
RH,-0.16690259861211396,56.0
RH,-0.16630454845842801,57.0
RH,-0.16568474749302564,58.0
RH,-0.16503078397837712,59.0
RH,-0.16447197500890848,60.0
RH,-0.1641621183800958,61.0
RH,-0.1639570409775739,62.0
RH,-0.1639794084136268,63.0
RH,-0.16419010288247102,64.0
RH,-0.16451733846783204,65.0
RH,-0.1647612081287415,66.0
RH,-0.16500325403258173,67.0
RH,-0.165198447327376,68.0
RH,-0.16530210991849195,69.0
RH,-0.1652308760985808,70.0
RH,-0.1651095589225182,71.0
RH,-0.16505326292333866,72.0
TMP,0.0011192257949892135,1.0
TMP,-0.00012539235880644153,2.0
TMP,-0.0015420921986361198,3.0
TMP,-0.0030087450159222823,4.0
TMP,-0.004588814218537004,5.0
TMP,-0.006231020985703996,6.0
TMP,-0.00789207215826159,7.0
TMP,-0.009619444277298302,8.0
TMP,-0.011359010585776073,9.0
TMP,-0.01311675870639004,10.0
TMP,-0.014829388438712204,11.0
TMP,-0.016600077361455662,12.0
TMP,-0.01845133460760684,13.0
TMP,-0.02028451388852279,14.0
TMP,-0.022031333001710694,15.0
