,fecha,hora,dia,mes,id_station,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,2014-01-01 01:00:00,1,1,1,MER,0.0,0.0,586.0,0.8,14.0,31.0,44.0,1.0,49.0,17.0,16.0,80.0,10.6,1.9,322.0,66.0
1,2014-01-01 01:00:00,1,1,1,TLA,0.0,0.0,584.0,0.4,4.0,22.0,26.0,9.0,47.0,48.0,10.0,82.0,9.0,3.0,310.0,95.0
2,2014-01-01 02:00:00,2,1,1,MER,0.0,0.0,586.0,0.7,11.0,30.0,41.0,1.0,57.0,21.0,16.0,82.0,10.1,1.7,316.0,78.0
3,2014-01-01 02:00:00,2,1,1,TLA,0.0,0.0,584.0,0.5,7.0,21.0,28.0,9.0,57.0,17.0,8.0,82.0,9.0,2.1,297.0,75.0
4,2014-01-01 03:00:00,3,1,1,MER,0.0,0.0,586.0,1.0,29.0,27.0,56.0,1.0,75.0,25.0,20.0,85.0,9.6,1.6,72.0,100.0
5,2014-01-01 03:00:00,3,1,1,TLA,0.0,0.0,583.0,0.7,13.0,23.0,37.0,6.0,63.0,19.0,9.0,83.0,8.7,1.2,308.0,82.0
6,2014-01-01 04:00:00,4,1,1,MER,0.0,0.0,586.0,0.8,11.0,25.0,36.0,1.0,95.0,30.0,21.0,97.0,8.6,1.7,75.0,125.0
7,2014-01-01 04:00:00,4,1,1,TLA,0.0,0.0,583.0,1.0,33.0,26.0,59.0,2.0,93.0,31.0,18.0,84.0,8.3,0.2,203.0,124.0
8,2014-01-01 05:00:00,5,1,1,MER,0.0,0.0,585.0,1.0,22.0,25.0,47.0,1.0,101.0,42.0,18.0,100.0,8.0,1.3,33.0,143.0
9,2014-01-01 05:00:00,5,1,1,TLA,0.0,0.0,583.0,1.0,29.0,23.0,52.0,1.0,79.0,23.0,7.0,82.0,8.7,0.9,308.0,102.0
10,2014-01-01 06:00:00,6,1,1,MER,0.0,0.0,585.0,1.3,43.0,24.0,67.0,2.0,115.0,44.0,16.0,99.0,8.3,1.2,49.0,159.0
11,2014-01-01 06:00:00,6,1,1,TLA,0.0,0.0,583.0,1.1,32.0,27.0,59.0,2.0,110.0,37.0,16.0,81.0,9.1,1.6,335.0,146.0
12,2014-01-01 07:00:00,7,1,1,MER,0.001,0.009000000000000001,586.0,1.1,32.0,22.0,54.0,1.0,98.0,43.0,8.0,100.0,7.8,1.6,86.0,140.0
13,2014-01-01 07:00:00,7,1,1,TLA,0.001,0.001,583.0,1.2,35.0,27.0,62.0,2.0,141.0,53.0,20.0,82.0,8.8,1.9,345.0,194.0
14,2014-01-01 08:00:00,8,1,1,MER,0.071,0.018000000000000002,586.0,1.0,27.0,22.0,49.0,1.0,85.0,35.0,6.0,100.0,8.0,2.2,91.0,120.0
15,2014-01-01 08:00:00,8,1,1,TLA,0.044000000000000004,0.013000000000000001,583.0,1.0,27.0,27.0,54.0,2.0,130.0,45.0,16.0,81.0,9.1,0.1,111.0,175.0
16,2014-01-01 09:00:00,9,1,1,MER,0.442,0.114,586.0,0.9,21.0,20.0,41.0,3.0,92.0,39.0,6.0,96.0,8.5,1.8,64.0,131.0
17,2014-01-01 09:00:00,9,1,1,TLA,0.23399999999999999,0.07400000000000001,584.0,0.9,25.0,24.0,49.0,3.0,99.0,33.0,10.0,80.0,9.2,1.6,131.0,132.0
18,2014-01-01 10:00:00,10,1,1,MER,0.853,0.366,587.0,0.8,19.0,21.0,40.0,6.0,92.0,38.0,6.0,85.0,9.4,1.4,71.0,131.0
19,2014-01-01 10:00:00,10,1,1,TLA,0.63,0.27399999999999997,584.0,0.8,19.0,25.0,44.0,7.0,111.0,33.0,6.0,77.0,9.5,1.3,120.0,144.0
20,2014-01-01 11:00:00,11,1,1,MER,2.001,1.16,587.0,0.8,15.0,23.0,39.0,20.0,91.0,29.0,6.0,72.0,11.1,1.3,156.0,120.0
21,2014-01-01 11:00:00,11,1,1,TLA,2.048,1.185,584.0,0.7,13.0,22.0,36.0,22.0,102.0,32.0,6.0,70.0,11.0,1.4,159.0,134.0
22,2014-01-01 12:00:00,12,1,1,MER,3.2510000000000003,2.136,586.0,0.9,13.0,24.0,37.0,38.0,93.0,29.0,5.0,61.0,13.4,1.4,205.0,121.0
23,2014-01-01 12:00:00,12,1,1,TLA,3.346,2.188,583.0,0.7,11.0,23.0,35.0,41.0,95.0,31.0,7.0,60.0,13.4,1.1,142.0,126.0
24,2014-01-01 13:00:00,13,1,1,MER,3.64,2.542,585.0,0.9,9.0,26.0,35.0,57.0,88.0,25.0,4.0,52.0,16.1,1.4,147.0,113.0
25,2014-01-01 13:00:00,13,1,1,TLA,3.7760000000000002,2.662,583.0,0.6,7.0,20.0,27.0,57.0,65.0,23.0,5.0,49.0,15.9,1.7,117.0,88.0
26,2014-01-01 14:00:00,14,1,1,MER,2.8710000000000004,1.994,584.0,0.7,2.0,17.0,19.0,75.0,65.0,20.0,3.0,40.0,18.2,2.3,135.0,85.0
27,2014-01-01 14:00:00,14,1,1,TLA,2.147,1.574,582.0,0.4,4.0,17.0,21.0,59.0,43.0,15.0,3.0,42.0,17.2,2.0,125.0,58.0
28,2014-01-01 15:00:00,15,1,1,MER,1.81,1.165,584.0,0.6,1.0,15.0,16.0,75.0,45.0,21.0,2.0,36.0,18.7,2.3,156.0,65.0
29,2014-01-01 15:00:00,15,1,1,TLA,1.4709999999999999,0.924,581.0,0.5,4.0,18.0,22.0,65.0,40.0,16.0,3.0,35.0,18.1,1.1,133.0,57.0
30,2014-01-01 16:00:00,16,1,1,MER,1.222,0.64,583.0,0.5,2.0,16.0,17.0,64.0,30.0,16.0,2.0,33.0,19.2,2.1,146.0,46.0
31,2014-01-01 16:00:00,16,1,1,TLA,1.1640000000000001,0.569,581.0,0.5,4.0,22.0,26.0,64.0,49.0,16.0,4.0,33.0,18.9,0.5,211.0,64.0
32,2014-01-01 17:00:00,17,1,1,MER,0.782,0.267,583.0,0.5,2.0,19.0,20.0,45.0,15.0,17.0,1.0,35.0,19.0,2.4,131.0,32.0
33,2014-01-01 17:00:00,17,1,1,TLA,0.85,0.282,581.0,0.6,5.0,27.0,32.0,60.0,52.0,16.0,4.0,32.0,19.2,0.5,285.0,68.0
34,2014-01-01 18:00:00,18,1,1,MER,0.312,0.057999999999999996,583.0,0.7,5.0,35.0,40.0,28.0,20.0,22.0,2.0,40.0,18.3,2.7,159.0,42.0
35,2014-01-01 18:00:00,18,1,1,TLA,0.284,0.061,581.0,0.8,11.0,38.0,49.0,36.0,29.0,21.0,4.0,35.0,18.6,1.1,44.0,50.0
36,2014-01-01 19:00:00,19,1,1,MER,0.012,0.001,584.0,0.8,6.0,40.0,46.0,17.0,25.0,22.0,2.0,43.0,17.4,2.5,147.0,47.0
37,2014-01-01 19:00:00,19,1,1,TLA,0.012,0.004,581.0,0.9,13.0,42.0,55.0,20.0,22.0,27.0,5.0,40.0,17.6,1.4,21.0,49.0
38,2014-01-01 20:00:00,20,1,1,MER,0.0,0.0,584.0,0.9,12.0,42.0,54.0,11.0,26.0,21.0,2.0,46.0,16.5,2.1,154.0,47.0
39,2014-01-01 20:00:00,20,1,1,TLA,0.0,0.0,582.0,0.6,6.0,36.0,42.0,19.0,38.0,19.0,29.0,42.0,16.5,2.9,338.0,58.0
40,2014-01-01 21:00:00,21,1,1,MER,0.0,0.0,585.0,1.2,24.0,49.0,73.0,3.0,26.0,21.0,2.0,47.0,15.8,1.4,93.0,47.0
41,2014-01-01 21:00:00,21,1,1,TLA,0.0,0.0,582.0,0.9,6.0,52.0,57.0,15.0,79.0,33.0,111.0,54.0,15.2,3.0,350.0,112.0
