,fecha,id_station,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,PM10,RH,TMP,WSP,WDR,PA,UVA,UVB,hora,dia,mes
23,2018-01-01,TLA,0.4,2.0,28.0,30.0,16.0,70.0,36.0,9.0,106.0,47.0,12.8,3.3,323.0,585.0,0.0,0.0, 01,01,01
51,2018-01-01,TLA,0.4,2.0,32.0,34.0,14.0,63.0,27.0,11.0,90.0,47.0,12.0,3.0,327.0,585.0,0.0,0.0, 02,01,01
80,2018-01-01,TLA,0.6,5.0,39.0,43.0,7.0,80.0,46.0,19.0,127.0,50.0,11.5,3.0,331.0,585.0,0.0,0.0, 03,01,01
109,2018-01-01,TLA,0.6,6.0,38.0,44.0,4.0,105.0,29.0,53.0,134.0,55.0,10.6,2.4,320.0,585.0,0.0,0.0, 04,01,01
138,2018-01-01,TLA,0.4,7.0,37.0,43.0,3.0,83.0,21.0,115.0,105.0,61.0,9.5,2.9,320.0,585.0,0.0,0.0, 05,01,01
167,2018-01-01,TLA,0.5,10.0,34.0,44.0,2.0,43.0,12.0,93.0,56.0,69.0,8.4,3.2,307.0,585.0,0.0,0.0, 06,01,01
196,2018-01-01,TLA,0.4,6.0,30.0,36.0,2.0,71.0,11.0,62.0,82.0,74.0,7.6,2.9,311.0,586.0,0.0,0.0, 07,01,01
225,2018-01-01,TLA,0.4,5.0,22.0,28.0,5.0,54.0,9.0,35.0,63.0,74.0,7.5,2.7,311.0,586.0,0.0,0.0, 08,01,01
253,2018-01-01,TLA,0.3,6.0,18.0,24.0,11.0,42.0,8.0,36.0,50.0,71.0,7.8,2.7,320.0,586.0,0.0,0.0, 09,01,01
282,2018-01-01,TLA,0.3,12.0,21.0,34.0,15.0,53.0,8.0,57.0,61.0,65.0,9.4,2.3,311.0,587.0,0.0,0.0, 10,01,01
311,2018-01-01,TLA,0.2,10.0,20.0,30.0,25.0,44.0,11.0,49.0,55.0,54.0,11.5,2.5,324.0,587.0,0.0,0.0, 11,01,01
340,2018-01-01,TLA,0.3,10.0,25.0,34.0,36.0,49.0,18.0,42.0,66.0,46.0,13.1,3.0,349.0,587.0,0.0,0.0, 12,01,01
369,2018-01-01,TLA,0.3,6.0,20.0,26.0,48.0,62.0,17.0,30.0,78.0,42.0,14.6,3.2,343.0,586.0,0.0,0.0, 13,01,01
398,2018-01-01,TLA,0.2,3.0,16.0,19.0,56.0,56.0,17.0,12.0,72.0,36.0,15.9,3.4,340.0,585.0,0.0,0.0, 14,01,01
427,2018-01-01,TLA,0.2,2.0,13.0,16.0,60.0,44.0,21.0,8.0,65.0,34.0,17.0,2.8,332.0,584.0,0.0,0.0, 15,01,01
456,2018-01-01,TLA,0.2,1.0,14.0,15.0,55.0,27.0,18.0,6.0,46.0,35.0,17.6,2.7,329.0,584.0,0.0,0.0, 16,01,01
485,2018-01-01,TLA,0.2,3.0,14.0,16.0,48.0,33.0,19.0,4.0,52.0,37.0,17.3,3.4,351.0,584.0,0.0,0.0, 17,01,01
543,2018-01-01,TLA,0.2,2.0,17.0,19.0,21.0,12.0,34.0,5.0,46.0,46.0,14.4,4.2,339.0,584.0,0.0,0.0, 19,01,01
572,2018-01-01,TLA,0.2,3.0,18.0,21.0,14.0,8.0,39.0,4.0,48.0,55.0,12.1,4.8,326.0,585.0,0.0,0.0, 20,01,01
601,2018-01-01,TLA,0.2,3.0,17.0,20.0,13.0,10.0,44.0,5.0,54.0,62.0,10.2,5.0,335.0,586.0,0.0,0.0, 21,01,01
630,2018-01-01,TLA,0.2,3.0,16.0,20.0,11.0,9.0,30.0,5.0,38.0,66.0,9.6,4.1,324.0,586.0,0.0,0.0, 22,01,01
659,2018-01-01,TLA,0.3,5.0,20.0,25.0,6.0,6.0,13.0,11.0,19.0,66.0,9.2,2.6,339.0,586.0,0.0,0.0, 23,01,01
718,2018-02-01,TLA,1.1,69.0,32.0,101.0,1.0,17.0,34.0,5.0,51.0,57.0,11.1,1.0,254.0,583.0,0.0,0.0, 01,01,02
