,fecha,hora,dia,mes,id_station,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
2,2013-01-01 01:00:00,1,1,1,TLA,0.0,0.0,583.0,1.2,38.0,31.0,69.0,1.0,48.0,21.0,3.0,59.0,13.2,0.8,235.0,69.0
5,2013-01-01 02:00:00,2,1,1,TLA,0.0,0.0,583.0,1.4,46.0,31.0,77.0,2.0,98.0,32.0,6.0,61.0,12.7,0.7,166.0,131.0
8,2013-01-01 03:00:00,3,1,1,TLA,0.0,0.0,582.0,1.8,73.0,27.0,99.0,2.0,109.0,34.0,7.0,64.0,11.9,0.6,218.0,142.0
11,2013-01-01 04:00:00,4,1,1,TLA,0.0,0.0,582.0,2.0,86.0,28.0,113.0,2.0,101.0,36.0,5.0,65.0,11.6,1.0,203.0,137.0
14,2013-01-01 05:00:00,5,1,1,TLA,0.0,0.0,582.0,2.2,102.0,26.0,129.0,2.0,90.0,30.0,5.0,68.0,10.8,0.4,261.0,120.0
15,2013-01-01 06:00:00,6,1,1,MER,0.0,0.0,585.0,1.6,50.0,30.0,80.0,2.0,76.0,28.0,3.0,66.0,11.1,0.9,192.0,104.0
17,2013-01-01 06:00:00,6,1,1,TLA,0.0,0.0,582.0,1.5,72.0,24.0,95.0,2.0,72.0,22.0,3.0,71.0,9.9,1.0,256.0,94.0
18,2013-01-01 07:00:00,7,1,1,MER,0.001,0.0,585.0,2.2,80.0,28.0,108.0,2.0,89.0,29.0,3.0,68.0,10.5,0.8,150.0,118.0
20,2013-01-01 07:00:00,7,1,1,TLA,0.002,0.001,582.0,1.4,63.0,24.0,86.0,1.0,54.0,19.0,3.0,73.0,9.0,1.4,266.0,73.0
21,2013-01-01 08:00:00,8,1,1,MER,0.13,0.021,585.0,2.3,103.0,33.0,136.0,2.0,116.0,43.0,4.0,68.0,9.7,1.3,49.0,159.0
23,2013-01-01 08:00:00,8,1,1,TLA,0.136,0.035,582.0,1.9,80.0,25.0,105.0,3.0,128.0,38.0,3.0,74.0,9.0,1.2,283.0,165.0
24,2013-01-01 09:00:00,9,1,1,MER,0.633,0.18,585.0,2.3,87.0,49.0,137.0,5.0,141.0,53.0,6.0,62.0,11.3,0.6,28.0,194.0
26,2013-01-01 09:00:00,9,1,1,TLA,0.623,0.187,583.0,2.1,79.0,37.0,116.0,6.0,161.0,52.0,5.0,68.0,10.4,0.8,269.0,212.0
27,2013-01-01 10:00:00,10,1,1,MER,1.456,0.6509999999999999,586.0,1.9,49.0,64.0,113.0,19.0,156.0,53.0,6.0,55.0,13.5,1.1,87.0,209.0
29,2013-01-01 10:00:00,10,1,1,TLA,1.462,0.665,583.0,1.9,41.0,59.0,101.0,22.0,175.0,55.0,6.0,55.0,13.8,0.1,218.0,231.0
30,2013-01-01 11:00:00,11,1,1,MER,2.583,1.555,585.0,1.0,13.0,37.0,50.0,41.0,85.0,30.0,4.0,48.0,16.2,1.3,60.0,116.0
32,2013-01-01 11:00:00,11,1,1,TLA,2.516,1.5219999999999998,583.0,1.0,14.0,37.0,51.0,49.0,126.0,31.0,4.0,47.0,16.0,1.3,111.0,157.0
33,2013-01-01 12:00:00,12,1,1,MER,3.198,2.226,585.0,0.6,5.0,18.0,23.0,51.0,37.0,16.0,2.0,41.0,18.2,1.6,35.0,52.0
35,2013-01-01 12:00:00,12,1,1,TLA,3.135,2.253,582.0,0.7,8.0,25.0,33.0,60.0,71.0,19.0,2.0,41.0,18.0,2.1,119.0,90.0
36,2013-01-01 13:00:00,13,1,1,MER,3.302,2.423,584.0,0.5,4.0,15.0,18.0,60.0,22.0,14.0,1.0,35.0,19.9,1.8,271.0,36.0
38,2013-01-01 13:00:00,13,1,1,TLA,3.345,2.569,582.0,0.5,8.0,19.0,27.0,59.0,43.0,13.0,3.0,37.0,19.2,1.9,91.0,56.0
39,2013-01-01 14:00:00,14,1,1,MER,3.2939999999999996,2.438,584.0,0.3,2.0,8.0,9.0,45.0,7.0,11.0,0.0,28.0,20.8,2.0,155.0,18.0
41,2013-01-01 14:00:00,14,1,1,TLA,3.054,2.174,581.0,0.4,4.0,13.0,18.0,69.0,51.0,5.0,1.0,34.0,20.2,1.3,124.0,57.0
42,2013-01-01 15:00:00,15,1,1,MER,2.229,1.5130000000000001,583.0,0.3,1.0,9.0,10.0,44.0,6.0,13.0,1.0,29.0,21.1,2.5,106.0,19.0
44,2013-01-01 15:00:00,15,1,1,TLA,2.957,1.7990000000000002,580.0,0.4,6.0,14.0,20.0,71.0,4.0,17.0,1.0,29.0,21.1,1.6,103.0,21.0
45,2013-01-01 16:00:00,16,1,1,MER,2.351,1.179,583.0,0.4,4.0,13.0,16.0,44.0,12.0,24.0,1.0,28.0,21.8,3.8,143.0,36.0
48,2013-01-01 17:00:00,17,1,1,MER,1.275,0.45399999999999996,583.0,0.4,6.0,16.0,21.0,38.0,4.0,23.0,0.0,29.0,21.3,4.3,173.0,27.0
51,2013-01-01 18:00:00,18,1,1,MER,0.444,0.09,583.0,0.4,8.0,21.0,29.0,22.0,5.0,26.0,0.0,34.0,19.5,3.8,167.0,32.0
54,2013-01-01 19:00:00,19,1,1,MER,0.027000000000000003,0.004,583.0,0.5,9.0,26.0,36.0,17.0,9.0,21.0,0.0,39.0,17.7,3.7,164.0,29.0
56,2013-01-01 19:00:00,19,1,1,TLA,0.021,0.006999999999999999,581.0,0.4,4.0,22.0,27.0,20.0,6.0,25.0,0.0,36.0,17.0,2.1,165.0,31.0
57,2013-01-01 20:00:00,20,1,1,MER,0.0,0.0,584.0,0.7,9.0,32.0,42.0,12.0,11.0,20.0,1.0,42.0,16.6,3.0,144.0,31.0
59,2013-01-01 20:00:00,20,1,1,TLA,0.0,0.0,581.0,0.6,6.0,30.0,36.0,12.0,20.0,15.0,1.0,41.0,16.5,1.8,136.0,36.0
60,2013-01-01 21:00:00,21,1,1,MER,0.0,0.0,584.0,0.7,7.0,31.0,38.0,12.0,13.0,15.0,1.0,43.0,15.9,3.0,138.0,28.0
62,2013-01-01 21:00:00,21,1,1,TLA,0.0,0.0,581.0,0.9,25.0,40.0,65.0,3.0,17.0,21.0,1.0,44.0,15.6,1.2,122.0,38.0
63,2013-01-01 22:00:00,22,1,1,MER,0.0,0.0,584.0,1.1,35.0,41.0,76.0,3.0,21.0,18.0,2.0,44.0,15.4,1.7,144.0,39.0
66,2013-01-01 23:00:00,23,1,1,MER,0.0,0.0,584.0,1.4,50.0,42.0,92.0,2.0,24.0,27.0,17.0,53.0,14.4,2.0,323.0,51.0
68,2013-01-01 23:00:00,23,1,1,TLA,0.0,0.0,582.0,0.5,7.0,26.0,34.0,15.0,1.0,23.0,40.0,68.0,13.1,2.4,303.0,24.0
69,2013-01-01 00:00:00,0,1,1,MER,0.0,0.0,584.0,1.1,35.0,42.0,78.0,1.0,27.0,30.0,32.0,64.0,13.4,2.0,321.0,57.0
70,2013-02-01 01:00:00,1,1,2,MER,0.0,0.0,587.0,1.4,37.0,60.0,96.0,1.0,33.0,57.0,34.0,40.0,15.3,1.7,296.0,90.0
73,2013-02-01 02:00:00,2,1,2,MER,0.0,0.0,587.0,1.2,23.0,57.0,80.0,2.0,40.0,47.0,33.0,43.0,14.5,1.1,317.0,87.0
76,2013-02-01 03:00:00,3,1,2,MER,0.0,0.0,587.0,1.2,23.0,53.0,76.0,2.0,37.0,44.0,30.0,45.0,13.6,1.1,35.0,81.0
79,2013-02-01 04:00:00,4,1,2,MER,0.0,0.0,587.0,0.9,32.0,53.0,84.0,1.0,40.0,48.0,40.0,51.0,11.9,0.8,63.0,88.0
82,2013-02-01 05:00:00,5,1,2,MER,0.0,0.0,587.0,1.1,39.0,50.0,89.0,1.0,39.0,48.0,37.0,54.0,11.1,0.8,87.0,87.0
