,date,month,hour,id_station,PA,CO,NO,NO2,NOX,O3,PM2.5,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,2012-01-01 01:00:00,1,1,MER,587.0,1.7,48.0,45.0,93.0,1.0,62.0,28.0,7.0,64.0,11.2,1.4,21.0,90.0
1,2012-01-01 02:00:00,1,2,MER,587.0,1.9,54.0,46.0,101.0,1.0,102.0,47.0,10.0,68.0,10.7,1.9,20.0,148.0
2,2012-01-01 03:00:00,1,3,MER,587.0,1.9,56.0,46.0,102.0,1.0,111.0,45.0,9.0,71.0,10.2,0.8,302.0,156.0
3,2012-01-01 04:00:00,1,4,MER,587.0,2.3,82.0,44.0,126.0,2.0,113.0,43.0,9.0,72.0,9.9,0.9,197.0,156.0
4,2012-01-01 05:00:00,1,5,MER,587.0,2.3,81.0,40.0,122.0,1.0,103.0,37.0,8.0,71.0,9.9,0.7,120.0,141.0
5,2012-01-01 06:00:00,1,6,MER,588.0,2.4,104.0,40.0,144.0,2.0,107.0,39.0,8.0,73.0,9.5,0.8,42.0,145.0
6,2012-01-01 07:00:00,1,7,MER,588.0,2.6,100.0,41.0,141.0,2.0,137.0,45.0,7.0,78.0,8.6,0.7,105.0,183.0
7,2012-01-01 08:00:00,1,8,MER,589.0,2.3,89.0,38.0,127.0,2.0,118.0,38.0,6.0,73.0,8.6,1.3,354.0,156.0
8,2012-01-01 09:00:00,1,9,MER,589.0,1.7,54.0,43.0,98.0,5.0,106.0,36.0,7.0,65.0,9.9,1.5,32.0,142.0
9,2012-01-01 10:00:00,1,10,MER,590.0,2.1,48.0,69.0,117.0,15.0,172.0,51.0,8.0,62.0,11.2,1.3,100.0,223.0
10,2012-01-01 11:00:00,1,11,MER,589.0,1.9,24.0,72.0,96.0,36.0,162.0,47.0,9.0,52.0,13.9,0.9,324.0,209.0
11,2012-01-01 12:00:00,1,12,MER,589.0,1.0,13.0,45.0,58.0,49.0,84.0,27.0,9.0,36.0,17.4,2.6,345.0,111.0
12,2012-01-01 13:00:00,1,13,MER,588.0,0.4,3.0,16.0,19.0,59.0,43.0,19.0,7.0,29.0,19.5,4.2,8.0,63.0
13,2012-01-01 14:00:00,1,14,MER,587.0,0.3,3.0,12.0,15.0,51.0,27.0,24.0,5.0,27.0,20.6,4.2,3.0,51.0
14,2012-01-01 15:00:00,1,15,MER,587.0,0.3,5.0,10.0,15.0,39.0,10.0,31.0,3.0,21.0,21.4,5.4,359.0,41.0
15,2012-01-01 16:00:00,1,16,MER,586.0,0.3,6.0,12.0,18.0,34.0,5.0,31.0,2.0,21.0,21.0,4.8,1.0,36.0
16,2012-01-01 17:00:00,1,17,MER,587.0,0.3,4.0,13.0,17.0,31.0,5.0,45.0,2.0,26.0,19.1,5.5,7.0,50.0
17,2012-01-01 18:00:00,1,18,MER,587.0,0.4,8.0,19.0,27.0,23.0,10.0,47.0,2.0,34.0,17.1,5.7,349.0,57.0
18,2012-01-01 19:00:00,1,19,MER,588.0,0.4,4.0,17.0,21.0,20.0,8.0,32.0,2.0,45.0,14.8,4.6,356.0,41.0
19,2012-01-01 20:00:00,1,20,MER,589.0,0.4,7.0,19.0,26.0,17.0,15.0,19.0,2.0,49.0,13.6,4.2,347.0,34.0
20,2012-01-01 21:00:00,1,21,MER,590.0,0.5,10.0,23.0,33.0,14.0,12.0,15.0,2.0,52.0,13.1,3.9,334.0,27.0
21,2012-01-01 22:00:00,1,22,MER,590.0,0.4,7.0,19.0,26.0,16.0,12.0,13.0,2.0,59.0,12.7,4.5,338.0,25.0
22,2012-01-01 23:00:00,1,23,MER,590.0,0.4,5.0,18.0,23.0,15.0,10.0,9.0,2.0,64.0,12.3,4.1,348.0,19.0
