    contaminante     valor  horas
0             O3  0.936008    0.0
1             RH -0.688956    0.0
2            TMP  0.687854    0.0
3           hora -0.471409    9.0
4           hora -0.538867   10.0
5           hora -0.558031   11.0
6           hora -0.522452   12.0
7           hora  0.476791   19.0
8           hora  0.489671   20.0
9           hora  0.467885   21.0
10          hora -0.485319   33.0
11          hora -0.519616   34.0
12          hora -0.503605   35.0
13          hora  0.464171   43.0
14          hora  0.460352   44.0
15            O3  0.840778    1.0
16            O3  0.753463    2.0
17            O3  0.602820    3.0
18            O3  0.463491   21.0
19            O3  0.601717   22.0
20            O3  0.694703   23.0
21            O3  0.724702   24.0
22            O3  0.686725   25.0
23            O3  0.587183   26.0
24            O3  0.442107   27.0
25            O3  0.484342   45.0
26            O3  0.584577   46.0
27            O3  0.636608   47.0
28            O3  0.630581   48.0
29            O3  0.926121    1.0
..           ...       ...    ...
78         PM2.5  0.550310    4.0
79         PM2.5  0.519762    5.0
80         PM2.5  0.464437    6.0
81         PM2.5  0.453867   27.0
82         PM2.5  0.443526   28.0
83            RH -0.656694    1.0
84            RH -0.582742    2.0
85            RH -0.475090    3.0
86            RH -0.513486   21.0
87            RH -0.581193   22.0
88            RH -0.616101   23.0
89            RH -0.611701   24.0
90            RH -0.567042   25.0
91            RH -0.486307   26.0
92            RH -0.442603   44.0
93            RH -0.512793   45.0
94            RH -0.557366   46.0
95            RH -0.568447   47.0
96            RH -0.542401   48.0
97           TMP  0.640049    1.0
98           TMP  0.543234    2.0
99           TMP  0.502703   21.0
100          TMP  0.573510   22.0
101          TMP  0.604197   23.0
102          TMP  0.588084   24.0
103          TMP  0.525151   25.0
104          TMP  0.491143   45.0
105          TMP  0.534342   46.0
106          TMP  0.537437   47.0
107          TMP  0.497360   48.0

[108 rows x 3 columns]
