indice,fecha,fecha_24,O3_pronóstico,PM10_pronóstico,O3,PM10,PM10_pronostico_ppb,PM10_ppb,indice_O3,indice_PM10,indice_pronostico_O3,indice_pronostico_PM10
0,2019-06-26 17:00:00,2019-06-27 17:00:00,,,,,,,,,,
1,2019-06-26 16:00:00,2019-06-27 16:00:00,36.76362991333008,36.38971328735352,,,18.566180248649758,,,,26.0,45.0
2,2019-06-26 15:00:00,2019-06-27 15:00:00,30.643512725830078,42.18484497070313,,,21.522880087093434,,,,22.0,53.0
3,2019-06-26 14:00:00,2019-06-27 14:00:00,26.053171157836914,45.68336868286133,,,23.30784116472517,,,,19.0,58.0
4,2019-06-26 13:00:00,2019-06-27 13:00:00,18.761598587036133,46.53640747070313,,,23.743065036073027,,,,13.0,59.0
5,2019-06-26 12:00:00,2019-06-27 12:00:00,22.99438285827637,47.15114974975586,,,24.05670905599789,,,,16.0,60.0
6,2019-06-26 11:00:00,2019-06-27 11:00:00,24.38469123840332,40.03293228149414,,,20.424965449741908,,,,17.0,
7,2019-06-26 10:00:00,2019-06-27 10:00:00,18.09117317199707,37.80854797363281,,,19.290075496751435,,,,13.0,47.0
8,2019-06-26 09:00:00,2019-06-27 09:00:00,25.78348731994629,36.6712760925293,,,18.709834741086375,,,,18.0,46.0
9,2019-06-26 08:00:00,2019-06-27 08:00:00,19.04318046569824,36.33951187133789,,,18.54056728129484,,,,14.0,45.0
10,2019-06-26 07:00:00,2019-06-27 07:00:00,20.41545295715332,35.54204559326172,,,18.13369673125598,,,,15.0,44.0
11,2019-06-26 06:00:00,2019-06-27 06:00:00,27.09250259399414,35.776817321777344,,,18.253478225396606,,,,19.0,45.0
12,2019-06-26 05:00:00,2019-06-27 05:00:00,22.227319717407227,34.07355117797852,,,17.384464886723737,,,,16.0,43.0
13,2019-06-26 04:00:00,2019-06-27 04:00:00,17.285730361938473,34.36812973022461,,,17.534760066441127,,,,12.0,43.0
14,2019-06-26 03:00:00,2019-06-27 03:00:00,15.094358444213867,34.47456741333008,,,17.58906500680106,,,,11.0,43.0
15,2019-06-26 02:00:00,2019-06-27 02:00:00,17.43277931213379,34.69316864013672,,,17.700596244967713,,,,12.0,43.0
16,2019-06-26 01:00:00,2019-06-27 01:00:00,20.09833335876465,34.16450881958008,,,17.43087184672453,,,,14.0,43.0
17,2019-06-26 00:00:00,2019-06-27 00:00:00,22.641313552856445,33.94196319580078,,,17.31732816112285,,,,16.0,42.0
18,2019-06-25 23:00:00,2019-06-26 23:00:00,20.739465713500977,33.46430206298828,,,17.073623501524633,,,,15.0,42.0
19,2019-06-25 22:00:00,2019-06-26 22:00:00,26.724987030029297,33.19983291625977,,,16.938690263397845,,,,19.0,41.0
20,2019-06-25 21:00:00,2019-06-26 21:00:00,32.78287506103516,28.72014808654785,,,14.653136778850945,,,,23.0,36.0
21,2019-06-25 20:00:00,2019-06-26 20:00:00,45.88246154785156,27.691198348999023,,,14.128162422958686,,,,33.0,35.0
